image,ground_truth,prediction,CER_score
test001_1.jpg,B9140BCD,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMTHE,6.5
test001_2.jpg,B2407UZO,B2407UZO,0.0
test001_3.jpg,B2842PKM,B2842PKM,0.0
test002_1.jpg,BG1352AE,BC1352AE,0.125
test003_1.jpg,B2634UZF,B2664,0.5
test003_2.jpg,B1995JVK,B1995JVK,0.0
test004_1.jpg,B9062VEH,9-8-23062YEH,0.875
test005_1.jpg,DD8798KM,THEIMAGEYOU'VESHAREDISACLOSE-UPOFABLACKLICENSEPLATEWITH,6.625
test006_1.jpg,T1329KC,THELICENSEPLATENUMBERIST-1329KC.,3.5714
test007_1.jpg,AD8865EE,AD8865EE,0.0
test008_1.jpg,DK1157AAB,DK1167AAB,0.1111
test008_2.jpg,AA1997FE,AA1997FE,0.0
test009_1.jpg,H8518NA,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMTHE,7.1429
test009_2.jpg,K1649GB,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMTHE,7.4286
test010_1.jpg,B9416PCN,B94,0.625
test010_2.jpg,H1147UY,THEIMAGEYOU'VESENTISACLOSE-UPOFALICENSEPLATEFROMA,6.7143
test011_1.jpg,H1691IL,H1691IL,0.0
test011_2.jpg,B9374RI,B9311,0.5714
test011_3.jpg,D1204AIG,D1204AIG,0.0
test012_1.jpg,E1887BA,E1887BA,0.0
test013_1.jpg,B1439UZP,THEIMAGEYOU'VESENTISACLOSE-UPOFALICENSEPLATEFROMTHE,6.125
test013_2.jpg,B1128WOS,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMTHE,6.375
test014_1.jpg,B1388DFX,B1388DFX,0.0
test015_1.jpg,AD1798BT,AD1778,0.375
test016_1.jpg,E1517DQ,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMTHE,7.2857
test017_1.jpg,AD8982FS,AD8892FS,0.25
test018_1.jpg,L7603UA,L7603UA,0.0
test019_1.jpg,AD7HS,THEIMAGEYOU'VESHAREDISACLOSE-UPOFALICENSEPLATEFROMTHE,10.0
test019_2.jpg,B1959WYK,THEIMAGEYOU'VESHAREDISACLOSE-UPOFABLACKANDWHITELICENSE,6.5
test020_1.jpg,AG8634EK,AC8864EK,0.375
